,COUNTYFP,precinct,shp_loc_prec,STATEFP,VTDST,NAMELSAD,VTDI,LSAD,CHNG_TYPE,ORIG_NAME,ORIG_CODE,RELATE,NAME,VINTAGE,FUNCSTAT,JUSTIFY,MTFCC,prec_matching,prec_word1,shp_loc_prec_nums,shp_loc_prec_code
0,001,absecon city ward 1 voting district 1,"001,absecon city ward 1 voting district 1",34,005101,Absecon city ward 1 voting district 1,A,00,,,,,Absecon city ward 1 voting district 1,90,N,,G5240,absecon city ward 1 voting district 1,absecon,00111,00111_absecon
1,001,linwood city ward 1 voting district 1,"001,linwood city ward 1 voting district 1",34,070101,Linwood city ward 1 voting district 1,A,00,,,,,Linwood city ward 1 voting district 1,90,N,,G5240,linwood city ward 1 voting district 1,linwood,00111,00111_linwood
2,001,linwood city ward 1 voting district 2,"001,linwood city ward 1 voting district 2",34,070102,Linwood city ward 1 voting district 2,A,00,,,,,Linwood city ward 1 voting district 2,90,N,,G5240,linwood city ward 1 voting district 2,linwood,00112,00112_linwood
3,001,linwood city ward 2 voting district 1,"001,linwood city ward 2 voting district 1",34,070201,Linwood city ward 2 voting district 1,A,00,,,,,Linwood city ward 2 voting district 1,90,N,,G5240,linwood city ward 2 voting district 1,linwood,00121,00121_linwood
4,001,linwood city ward 2 voting district 2,"001,linwood city ward 2 voting district 2",34,070202,Linwood city ward 2 voting district 2,A,00,,,,,Linwood city ward 2 voting district 2,90,N,,G5240,linwood city ward 2 voting district 2,linwood,00122,00122_linwood
5,001,linwood city ward 2 voting district 3,"001,linwood city ward 2 voting district 3",34,070203,Linwood city ward 2 voting district 3,A,00,,,,,Linwood city ward 2 voting district 3,90,N,,G5240,linwood city ward 2 voting district 3,linwood,00123,00123_linwood
6,001,longport borough voting district 1,"001,longport borough voting district 1",34,075001,Longport borough voting district 1,A,00,,,,,Longport borough voting district 1,90,N,,G5240,longport borough voting district 1,longport,0011,0011_longport
7,001,margate city city voting district 1,"001,margate city city voting district 1",34,080001,Margate City city voting district 1,A,00,,,,,Margate City city voting district 1,90,N,,G5240,margate city city voting district 1,margate,0011,0011_margate
8,001,hammonton town voting district 9,"001,hammonton town voting district 9",34,065009,Hammonton town voting district 9,A,00,,,,,Hammonton town voting district 9,90,N,,G5240,hammonton town voting district 9,hammonton,0019,0019_hammonton
9,001,margate city city voting district 10,"001,margate city city voting district 10",34,080010,Margate City city voting district 10,A,00,,,,,Margate City city voting district 10,90,N,,G5240,margate city city voting district 10,margate,00110,00110_margate
